ID,county,謝長廷,馬英九,,
6301000-033,臺北市內湖區安泰里,2500,2613,,
6301000-037,臺北市內湖區蘆洲里,2613,2173,,
6301000-026,臺北市內湖區週美里,2173,2586,,
6301000-027,臺北市內湖區行善里,2586,2165,,
6301000-028,臺北市內湖區石潭里,2165,2209,,
6301000-029,臺北市內湖區湖興里,2209,864,,
6301000-030,臺北市內湖區湖元里,864,2347,,
6300900-001,臺北市南港區南港里,2347,1249,,
6300900-002,臺北市南港區中南里,1249,824,,
6300900-004,臺北市南港區三重里,824,1663,,
6300900-003,臺北市南港區新富里,1663,1795,,
6300900-017,臺北市南港區中研里,1795,3011,,
6300900-018,臺北市南港區九如里,3011,1206,,
6300900-016,臺北市南港區舊莊里,1206,1541,,
6300900-005,臺北市南港區東新里,1541,1736,,
6300900-007,臺北市南港區東明里,1736,2040,,
6300900-008,臺北市南港區西新里,2040,1083,,
6300900-009,臺北市南港區玉成里,1083,2256,,
6300900-010,臺北市南港區合成里,2256,1033,,
6300900-006,臺北市南港區新光里,1033,2753,,
6300900-015,臺北市南港區聯成里,2753,1820,,
6300900-012,臺北市南港區萬福里,1820,2980,,
6300900-013,臺北市南港區鴻福里,2980,1099,,
6300900-014,臺北市南港區百福里,1099,2430,,
6300900-011,臺北市南港區成福里,2430,1458,,
6300900-019,臺北市南港區仁福里,1458,2249,,
6300100-002,臺北市松山區莊敬里,2249,2234,,
6300100-003,臺北市松山區東榮里,2234,3494,,
6300100-004,臺北市松山區三民里,3494,1729,,
6300100-005,臺北市松山區新益里,1729,2440,,
6300100-006,臺北市松山區富錦里,2440,1546,,
6300100-007,臺北市松山區新東里,1546,2529,,
6300100-008,臺北市松山區富泰里,2529,1407,,
6300100-009,臺北市松山區介壽里,1407,1937,,
6300100-010,臺北市松山區精忠里,1937,1226,,
6300100-011,臺北市松山區東光里,1226,1905,,
6300100-012,臺北市松山區龍田里,1905,1853,,
6300100-013,臺北市松山區東昌里,1853,3116,,
6300100-014,臺北市松山區東勢里,3116,1600,,
6300100-015,臺北市松山區中華里,1600,2808,,
6300100-016,臺北市松山區民有里,2808,2046,,
6300100-017,臺北市松山區民福里,2046,3376,,
6300100-035,臺北市松山區松基里,3376,1559,,
6300100-018,臺北市松山區慈祐里,1559,2666,,
6300100-019,臺北市松山區安平里,2666,489,,
6300100-020,臺北市松山區鵬程里,489,403,,
6300100-021,臺北市松山區自強里,403,533,,
6300100-022,臺北市松山區吉祥里,533,402,,
6300100-024,臺北市松山區新聚里,402,728,,
6300100-025,臺北市松山區復盛里,728,671,,
6300100-026,臺北市松山區中正里,671,892,,
6300100-027,臺北市松山區中崙里,892,1176,,
6300100-028,臺北市松山區美仁里,1176,533,,
6300100-029,臺北市松山區吉仁里,533,570,,
6300100-030,臺北市松山區敦化里,570,669,,
6300100-031,臺北市松山區復源里,669,280,,
6300100-032,臺北市松山區復建里,280,518,,
6300100-033,臺北市松山區復勢里,518,457,,
6300100-034,臺北市松山區福成里,457,379,,
6300200-001,臺北市信義區西村里,379,1556,,
6300200-002,臺北市信義區正和里,1556,750,,
6300200-003,臺北市信義區興隆里,750,1243,,
6300200-004,臺北市信義區中興里,1243,1949,,
6300200-005,臺北市信義區新仁里,1949,3180,,
6300200-006,臺北市信義區興雅里,3180,1727,,
6300200-007,臺北市信義區敦厚里,1727,3796,,
6300200-008,臺北市信義區廣居里,3796,1504,,
6300200-009,臺北市信義區安康里,1504,2761,,
6300200-010,臺北市信義區六藝里,2761,1441,,
6300200-011,臺北市信義區雅祥里,1441,2334,,
6300200-012,臺北市信義區五常里,2334,1232,,
6300200-013,臺北市信義區五全里,1232,2131,,
6300200-014,臺北市信義區永吉里,2131,1417,,
6300200-015,臺北市信義區長春里,1417,2035,,
6300200-016,臺北市信義區四育里,2035,2298,,
6300200-017,臺北市信義區四維里,2298,3613,,
6300200-018,臺北市信義區永春里,3613,1960,,
