Village_Name,VILLAGE_ID,當選人,當選人所屬黨派,次高票者,次高票所屬政黨,當選人得票數,次高票得票數,有效票的SUM,投票數,選舉人數,投票率
信義區安康里,6300200-009,費鴻泰,中國國民黨,楊實秋,無,320,328,5408,5517,8342,67.65
信義區大道里,6300200-026,費鴻泰,中國國民黨,楊實秋,無,388,434,3740,3793,5374,70.835
信義區大仁里,6300200-027,費鴻泰,中國國民黨,楊實秋,無,364,347,2411,2455,3554,68.78
信義區敦厚里,6300200-007,費鴻泰,中國國民黨,楊實秋,無,474,437,2924,2979,4499,66.53
信義區富台里,6300200-019,費鴻泰,中國國民黨,楊實秋,無,508,267,2398,2450,3683,66.67
信義區廣居里,6300200-008,費鴻泰,中國國民黨,楊實秋,無,357,366,4466,4537,6559,69.02
信義區國業里,6300200-020,費鴻泰,中國國民黨,楊實秋,無,353,330,4101,4176,6170,68.29
信義區惠安里,6300200-029,費鴻泰,中國國民黨,楊實秋,無,494,357,3791,3876,5702,68.235
信義區嘉興里,6300200-037,費鴻泰,中國國民黨,楊實秋,無,408,492,1861,1899,2822,67.26
信義區景聯里,6300200-034,費鴻泰,中國國民黨,楊實秋,無,377,381,2753,2822,4005,70.75
信義區景勤里,6300200-035,費鴻泰,中國國民黨,楊實秋,無,476,286,2363,2416,3552,67.93
信義區景新里,6300200-028,費鴻泰,中國國民黨,楊實秋,無,514,352,2882,2937,4334,68.61
信義區黎安里,6300200-041,費鴻泰,中國國民黨,楊實秋,無,412,219,1264,1292,1917,67.415
信義區黎平里,6300200-039,費鴻泰,中國國民黨,楊實秋,無,454,380,4085,4160,6106,67.835
信義區黎順里,6300200-038,費鴻泰,中國國民黨,楊實秋,無,311,316,2343,2403,3656,67.57
信義區黎忠里,6300200-040,費鴻泰,中國國民黨,楊實秋,無,463,384,2845,2895,4195,68.46
信義區六合里,6300200-032,費鴻泰,中國國民黨,楊實秋,無,417,336,3827,3888,5896,66.345
信義區六藝里,6300200-010,費鴻泰,中國國民黨,楊實秋,無,458,540,2162,2197,3123,70.225
信義區三犁里,6300200-031,費鴻泰,中國國民黨,楊實秋,無,543,380,2964,3015,4512,67.04
信義區三張里,6300200-030,費鴻泰,中國國民黨,楊實秋,無,354,333,5162,5274,7704,68.11
信義區雙和里,6300200-036,費鴻泰,中國國民黨,楊實秋,無,532,444,4233,4285,6099,70.57
信義區四維里,6300200-017,費鴻泰,中國國民黨,楊實秋,無,334,303,3136,3189,4717,67.06
信義區四育里,6300200-016,費鴻泰,中國國民黨,楊實秋,無,281,427,3391,3457,4920,71.225
信義區松光里,6300200-023,費鴻泰,中國國民黨,楊實秋,無,395,482,2873,2919,4312,68.91
信義區松隆里,6300200-021,費鴻泰,中國國民黨,楊實秋,無,281,247,1241,1265,1990,63.615
信義區松友里,6300200-022,費鴻泰,中國國民黨,楊實秋,無,438,411,3729,3797,5674,67.465
信義區泰和里,6300200-033,費鴻泰,中國國民黨,楊實秋,無,440,334,4330,4403,6763,64.95
信義區五常里,6300200-012,費鴻泰,中國國民黨,楊實秋,無,441,466,2160,2207,3251,67.89
信義區五全里,6300200-013,費鴻泰,中國國民黨,楊實秋,無,425,562,3114,3167,4373,72.49
信義區西村里,6300200-001,費鴻泰,中國國民黨,楊實秋,無,601,207,2720,2762,5178,68.08
信義區新仁里,6300200-005,費鴻泰,中國國民黨,楊實秋,無,538,360,1936,1971,2896,68.13
信義區興隆里,6300200-003,費鴻泰,中國國民黨,楊實秋,無,327,227,1497,1525,2431,62.77
信義區興雅里,6300200-006,費鴻泰,中國國民黨,楊實秋,無,358,279,3316,3369,4989,67.36
信義區雅祥里,6300200-011,費鴻泰,中國國民黨,楊實秋,無,299,369,2824,2867,4212,67.67
信義區永春里,6300200-018,費鴻泰,中國國民黨,楊實秋,無,296,279,2845,2906,4237,68.515
信義區永吉里,6300200-014,費鴻泰,中國國民黨,楊實秋,無,221,351,2308,2372,3519,68.11
信義區長春里,6300200-015,費鴻泰,中國國民黨,楊實秋,無,289,407,2427,2483,3646,67.88
信義區正和里,6300200-002,費鴻泰,中國國民黨,楊實秋,無,448,324,2669,2704,3894,70.53
信義區中坡里,6300200-024,費鴻泰,中國國民黨,楊實秋,無,275,275,2651,2685,3893,69.655
信義區中行里,6300200-025,費鴻泰,中國國民黨,楊實秋,無,358,400,4649,4728,6907,68.55
信義區中興里,6300200-004,費鴻泰,中國國民黨,楊實秋,無,419,385,1846,1871,2941,63.65
中山區北安里,6300400-042,蔣萬安,中國國民黨,潘建志,無,514,208,1524,1556,2268,68.465
中山區成功里,6300400-015,蔣萬安,中國國民黨,潘建志,無,396,357,3406,3470,5221,66.05
中山區大佳里,6300400-017,蔣萬安,中國國民黨,潘建志,無,190,334,617,629,921,68.3
中山區大直里,6300400-014,蔣萬安,中國國民黨,潘建志,無,548,428,5424,5536,7748,71.94
中山區復華里,6300400-040,蔣萬安,中國國民黨,潘建志,無,420,354,2609,2645,3917,67.27
中山區恆安里,6300400-010,蔣萬安,中國國民黨,潘建志,無,410,285,2471,2527,4070,63.95
中山區集英里,6300400-008,蔣萬安,中國國民黨,潘建志,無,351,478,3856,3950,5847,67.53
中山區劍潭里,6300400-013,蔣萬安,中國國民黨,潘建志,無,763,141,2138,2185,3161,69.24
中山區江寧里,6300400-028,蔣萬安,中國國民黨,潘建志,無,374,362,3947,4025,5852,68.505
中山區江山里,6300400-029,蔣萬安,中國國民黨,潘建志,無,438,463,4419,4486,6449,69.86
中山區金泰里,6300400-041,蔣萬安,中國國民黨,潘建志,無,474,284,3874,3942,5871,68.11
中山區聚盛里,6300400-007,蔣萬安,中國國民黨,潘建志,無,351,290,2214,2266,3612,62.72
中山區聚葉里,6300400-009,蔣萬安,中國國民黨,潘建志,無,434,445,2111,2151,3367,63.885
中山區康樂里,6300400-005,蔣萬安,中國國民黨,潘建志,無,362,270,1403,1419,2346,60.465
中山區力行里,6300400-039,蔣萬安,中國國民黨,潘建志,無,354,415,3357,3437,5128,66.53
中山區龍洲里,6300400-035,蔣萬安,中國國民黨,潘建志,無,713,212,3027,3094,4360,70.82
中山區民安里,6300400-004,蔣萬安,中國國民黨,潘建志,無,302,356,2635,2689,4000,67.49
中山區埤頭里,6300400-037,蔣萬安,中國國民黨,潘建志,無,488,337,1968,2022,2948,68.645
中山區晴光里,6300400-011,蔣萬安,中國國民黨,潘建志,無,476,359,2773,2838,4557,62.24
中山區松江里,6300400-021,蔣萬安,中國國民黨,潘建志,無,418,431,3834,3895,5574,70.065
中山區下埤里,6300400-027,蔣萬安,中國國民黨,潘建志,無,375,411,4490,4582,6512,70.2
中山區新福里,6300400-020,蔣萬安,中國國民黨,潘建志,無,380,410,2897,2969,4339,68.34
中山區新生里,6300400-022,蔣萬安,中國國民黨,潘建志,無,356,458,2901,2954,4263,69.7
中山區新喜里,6300400-018,蔣萬安,中國國民黨,潘建志,無,358,503,3076,3128,4566,68.84
中山區新庄里,6300400-019,蔣萬安,中國國民黨,潘建志,無,431,356,2892,2947,4310,70.38
中山區行仁里,6300400-025,蔣萬安,中國國民黨,潘建志,無,386,445,4724,4807,6971,69.06
中山區行孝里,6300400-026,蔣萬安,中國國民黨,潘建志,無,263,315,2317,2349,3504,66.87
中山區行政里,6300400-024,蔣萬安,中國國民黨,潘建志,無,486,544,3428,3483,6719,68.02
中山區興亞里,6300400-032,蔣萬安,中國國民黨,潘建志,無,469,377,3042,3098,4552,68.36
中山區永安里,6300400-016,蔣萬安,中國國民黨,潘建志,無,484,365,5205,5286,7611,69.21
中山區圓山里,6300400-012,蔣萬安,中國國民黨,潘建志,無,343,350,2320,2366,3625,64.89
中山區正得里,6300400-003,蔣萬安,中國國民黨,潘建志,無,440,374,1999,2044,3250,62.855
中山區正守里,6300400-001,蔣萬安,中國國民黨,潘建志,無,358,383,1828,1864,2749,67.92
中山區正義里,6300400-002,蔣萬安,中國國民黨,潘建志,無,400,370,2670,2725,4482,60.98
中山區中吉里,6300400-030,蔣萬安,中國國民黨,潘建志,無,432,475,3172,3238,4632,69.81
中山區中山里,6300400-006,蔣萬安,中國國民黨,潘建志,無,335,331,3385,3454,5570,62.65
中山區中央里,6300400-033,蔣萬安,中國國民黨,潘建志,無,417,417,6976,7077,10297,68.68
中山區中原里,6300400-031,蔣萬安,中國國民黨,潘建志,無,366,416,2933,2974,4294,69.34
中山區中庄里,6300400-023,蔣萬安,中國國民黨,潘建志,無,385,394,2987,3042,4439,68.73
中山區朱馥里,6300400-034,蔣萬安,中國國民黨,潘建志,無,499,399,3283,3335,5018,66.44
中山區朱崙里,6300400-038,蔣萬安,中國國民黨,潘建志,無,338,306,1601,1636,2446,66.87
中山區朱園里,6300400-036,蔣萬安,中國國民黨,潘建志,無,342,345,2488,2549,3922,65.24
中正區愛國里,6300500-016,林昶佐,時代力量,林郁方,中國國民黨,403,443,1763,1799,2585,69.645
中正區板溪里,6300500-008,賴士葆,中國國民黨,李慶元,無,424,386,1961,2006,2929,68.485
中正區頂東里,6300500-006,賴士葆,中國國民黨,李慶元,無,498,354,3615,3683,5306,69.555
中正區東門里,6300500-028,林昶佐,時代力量,林郁方,中國國民黨,265,383,2221,2266,3364,67.9
中正區富水里,6300500-002,賴士葆,中國國民黨,李慶元,無,373,220,1324,1357,2085,65.04
中正區光復里,6300500-023,林昶佐,時代力量,林郁方,中國國民黨,274,291,1979,2008,3081,64.2
中正區河堤里,6300500-005,賴士葆,中國國民黨,李慶元,無,434,285,2709,2754,4022,69.11
中正區建國里,6300500-022,林昶佐,時代力量,林郁方,中國國民黨,330,402,771,786,1170,67.18
中正區黎明里,6300500-024,林昶佐,時代力量,林郁方,中國國民黨,310,425,1624,1656,2667,62.085
中正區林興里,6300500-004,賴士葆,中國國民黨,李慶元,無,485,298,2489,2547,3893,64.71
中正區龍福里,6300500-020,林昶佐,時代力量,林郁方,中國國民黨,525,557,3320,3391,5869,69.04
中正區龍光里,6300500-018,林昶佐,時代力量,林郁方,中國國民黨,378,475,1846,1887,2716,69.47
中正區龍興里,6300500-013,林昶佐,時代力量,林郁方,中國國民黨,490,462,2107,2141,3134,68.34
中正區梅花里,6300500-025,林昶佐,時代力量,林郁方,中國國民黨,473,415,1818,1851,2786,66.515
中正區南福里,6300500-019,林昶佐,時代力量,林郁方,中國國民黨,560,636,5484,5588,8040,68.64
中正區南門里,6300500-017,林昶佐,時代力量,林郁方,中國國民黨,322,413,1566,1595,2180,73.175
中正區三愛里,6300500-031,林昶佐,時代力量,林郁方,中國國民黨,470,468,4623,4723,6950,67.97
中正區廈安里,6300500-015,林昶佐,時代力量,林郁方,中國國民黨,362,325,2210,2253,3364,68.23
中正區水源里,6300500-001,賴士葆,中國國民黨,李慶元,無,398,275,1632,1674,2588,64.675
中正區網溪里,6300500-007,賴士葆,中國國民黨,李慶元,無,425,291,3378,3444,4993,68.955
中正區文北里,6300500-029,林昶佐,時代力量,林郁方,中國國民黨,548,493,3040,3095,4572,68.01
中正區文盛里,6300500-003,賴士葆,中國國民黨,李慶元,無,339,262,1538,1567,2233,70.12
中正區文祥里,6300500-030,林昶佐,時代力量,林郁方,中國國民黨,461,476,4198,4265,6124,69.295
中正區新營里,6300500-021,林昶佐,時代力量,林郁方,中國國民黨,403,496,4737,4801,6882,68.49
中正區幸福里,6300500-026,林昶佐,時代力量,林郁方,中國國民黨,408,327,2484,2536,3781,67.83
中正區幸市里,6300500-027,林昶佐,時代力量,林郁方,中國國民黨,502,394,2671,2717,3866,70.27
中正區螢圃里,6300500-009,賴士葆,中國國民黨,李慶元,無,325,300,3178,3250,4730,68.73
中正區螢雪里,6300500-010,賴士葆,中國國民黨,李慶元,無,378,326,2659,2733,3870,70.61
中正區永昌里,6300500-012,林昶佐,時代力量,林郁方,中國國民黨,471,533,3063,3111,4412,69.51
中正區永功里,6300500-011,林昶佐,時代力量,林郁方,中國國民黨,413,333,3491,3574,5192,68.635
中正區忠勤里,6300500-014,林昶佐,時代力量,林郁方,中國國民黨,389,456,3754,3836,5805,66.845
