Village_Name,VILLAGE_ID,當選人,當選人所屬黨派,次高票者,次高票所屬政黨,當選人得票數,次高票得票數,有效票的SUM,投票數,選舉人數,投票率
內湖區麗山里,6301000-038,李彥秀,中國國民黨,黃珊珊,親民黨,420,437,3343,3416,4898,69.59
內湖區蘆洲里,6301000-037,李彥秀,中國國民黨,黃珊珊,親民黨,297,262,665,674,1036,65.06
內湖區明湖里,6301000-036,李彥秀,中國國民黨,黃珊珊,親民黨,371,374,2836,2911,4265,69.17
內湖區南湖里,6301000-040,李彥秀,中國國民黨,黃珊珊,親民黨,425,358,2877,2919,4261,67.42
內湖區內溝里,6301000-025,李彥秀,中國國民黨,黃珊珊,親民黨,208,194,2700,2754,4023,68.84
內湖區內湖里,6301000-009,李彥秀,中國國民黨,黃珊珊,親民黨,432,441,3229,3303,5008,66.96
內湖區清白里,6301000-017,李彥秀,中國國民黨,黃珊珊,親民黨,303,419,4729,4802,6936,68.82
內湖區瑞光里,6301000-021,李彥秀,中國國民黨,黃珊珊,親民黨,387,366,2802,2840,4004,70.89
內湖區瑞陽里,6301000-020,李彥秀,中國國民黨,黃珊珊,親民黨,564,418,4663,4748,6672,71.51
內湖區石潭里,6301000-028,李彥秀,中國國民黨,黃珊珊,親民黨,440,339,1936,1969,3079,63.905
內湖區五分里,6301000-022,李彥秀,中國國民黨,黃珊珊,親民黨,349,344,5376,5487,8450,64.415
內湖區西安里,6301000-003,李彥秀,中國國民黨,黃珊珊,親民黨,403,348,3943,4027,5711,70.455
內湖區西湖里,6301000-001,李彥秀,中國國民黨,黃珊珊,親民黨,395,484,4336,4450,6429,69.615
內湖區西康里,6301000-002,李彥秀,中國國民黨,黃珊珊,親民黨,435,438,5323,5437,7906,68.53
內湖區行善里,6301000-027,李彥秀,中國國民黨,黃珊珊,親民黨,456,330,3866,3944,5674,69.37
內湖區秀湖里,6301000-032,李彥秀,中國國民黨,黃珊珊,親民黨,432,494,3515,3596,5301,67.11
內湖區週美里,6301000-026,李彥秀,中國國民黨,黃珊珊,親民黨,344,417,4270,4352,6426,68.08
內湖區紫星里,6301000-011,李彥秀,中國國民黨,黃珊珊,親民黨,430,474,4671,4761,6774,69.66
內湖區紫陽里,6301000-019,李彥秀,中國國民黨,黃珊珊,親民黨,481,493,4661,4756,6877,69.845
內湖區紫雲里,6301000-016,李彥秀,中國國民黨,黃珊珊,親民黨,484,458,3309,3384,4902,69.95
士林區百齡里,6301100-011,姚文智,民主進步黨,潘懷宗,新黨,608,354,4247,4327,6083,71.085
士林區承德里,6301100-012,姚文智,民主進步黨,潘懷宗,新黨,567,563,3252,3327,4856,69.26
士林區翠山里,6301100-050,姚文智,民主進步黨,潘懷宗,新黨,269,500,1545,1589,2373,66.945
士林區德華里,6301100-028,吳思瑤,民主進步黨,丁守中,中國國民黨,619,470,3381,3428,4818,71.47
士林區德行里,6301100-027,吳思瑤,民主進步黨,丁守中,中國國民黨,460,434,2595,2618,3762,68.57
士林區東山里,6301100-032,姚文智,民主進步黨,潘懷宗,新黨,451,440,2941,3004,4354,67.86
士林區福安里,6301100-023,姚文智,民主進步黨,潘懷宗,新黨,751,155,2846,2926,4109,71.6
士林區福德里,6301100-004,姚文智,民主進步黨,潘懷宗,新黨,377,391,2689,2748,5089,69.77
士林區福華里,6301100-013,姚文智,民主進步黨,潘懷宗,新黨,648,457,3597,3676,5529,66.085
士林區福佳里,6301100-007,姚文智,民主進步黨,潘懷宗,新黨,567,475,4623,4708,6581,71.415
士林區福林里,6301100-003,姚文智,民主進步黨,潘懷宗,新黨,166,241,1739,1781,2611,67.43
士林區福順里,6301100-015,姚文智,民主進步黨,潘懷宗,新黨,620,331,3094,3145,4469,69.92
士林區福志里,6301100-005,姚文智,民主進步黨,潘懷宗,新黨,471,603,4465,4584,6511,69.505
士林區福中里,6301100-009,姚文智,民主進步黨,潘懷宗,新黨,622,327,3973,4044,5750,70.51
士林區富光里,6301100-016,姚文智,民主進步黨,潘懷宗,新黨,760,354,3296,3377,5005,68.08
士林區富洲里,6301100-024,姚文智,民主進步黨,潘懷宗,新黨,830,214,3425,3494,4920,70.9
士林區公館里,6301100-044,姚文智,民主進步黨,潘懷宗,新黨,516,237,779,791,1237,63.95
士林區後港里,6301100-008,姚文智,民主進步黨,潘懷宗,新黨,659,335,4603,4712,6978,68.51
士林區葫東里,6301100-018,姚文智,民主進步黨,潘懷宗,新黨,717,378,2377,2437,3508,69.455
士林區葫蘆里,6301100-017,姚文智,民主進步黨,潘懷宗,新黨,720,389,4487,4574,6482,71.195
士林區菁山里,6301100-047,姚文智,民主進步黨,潘懷宗,新黨,188,135,938,959,1434,66.185
